"Source","Asset","Team","Asset Name","Asset Type","URI","Detector","Description","Content Class","Exposure window","Ignored","Ignore timestamp","Ignore type","Ignore Actor","Severity"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/config/default.yml#L58","GOOG001","Google Client ID URL","code/infra","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts#L56","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts#L50","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/cypress/integration/e2e/forgedJwt.spec.ts#L22","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/currentUserSpec.ts#L33","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/currentUserSpec.ts#L31","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/api/userApiSpec.ts#L262","GJWT001","Visible JWT Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/config/default.yml#L58","FB001","Visible Facebook Client ID","code/infra","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/verifySpec.ts#L308","BRR001","Visible Authorization Bearer Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/verifySpec.ts#L296","BRR001","Visible Authorization Bearer Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/verifySpec.ts#L274","BRR001","Visible Authorization Bearer Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/server/verifySpec.ts#L262","BRR001","Visible Authorization Bearer Token","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/data/static/users.yml#L150","AUDIT004","Token Audit","code/infra","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/cypress/integration/e2e/totpSetup.spec.ts#L7","AUDIT003","Token Audit","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/api/2faSpec.ts#L365","AUDIT003","Token Audit","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/test/api/2faSpec.ts#L170","AUDIT003","Token Audit","tests","6 days","false","","","","high"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/config/default.yml#L58","CLD030","Visible Google cloud host","code/infra","6 days","false","","","","medium"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/config/oss.yml#L35","CLD022","Visible AWS S3 path-style endpoints","code/infra","6 days","false","","","","medium"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/config/oss.yml#L35","CLD022","Visible AWS S3 path-style endpoints","code/infra","6 days","false","","","","medium"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/frontend/src/app/app.guard.spec.ts#L40","AUDIT019","Parameter Set Audit","tests","6 days","false","","","","medium"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts#L56","AUDIT019","Parameter Set Audit","tests","6 days","false","","","","medium"
"github.com","github.com/bkimminich/juice-shop","Linish Tiger Team","bkimminich/juice-shop","git","https://github.com/bkimminich/juice-shop/blob/2c757a928815547d4104dc8b360087f8c3e32c41/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts#L50","AUDIT019","Parameter Set Audit","tests","6 days","false","","","","medium"